编号,分组,中心_x,中心_y,中心_z,方向_x,方向_y,方向_z,delta,着色起点,着色终点
0,0,-0.025036586250491776,-0.07189310446941789,-0.040800880802372375,-0.6142045658922298,-0.4125238538228838,0.6727383007264071,0.055,0.16329520483871046,0.8832952048387104
1,1,-0.09932722414299044,-0.08972122999937102,0.0252704844072865,-0.41678657603708696,0.07448655273726656,0.9059474065841792,0.055,0.03084144105711381,0.7508414410571138
2,2,0.0117808295307015,0.020685545333542336,-0.02435558894109964,0.6937528373981983,0.24434682990328177,0.677496588418101,0.055,0.1804217948368269,0.9004217948368269
3,3,0.13492566507822573,0.1990987376515138,-0.013527108173959503,-0.4746456476054636,-0.877526268849311,-0.06825801556298661,0.055,0.2657370522753253,0.9857370522753253
4,4,-0.026312760388418992,0.1765050985702875,-0.06927015576700997,-0.08615204961139525,-0.9522684509880649,0.29285255949120104,0.055,0.01236538812287018,0.7323653881228701
5,5,-0.1349810232520156,0.06029530108036856,0.0356009401454328,-0.7866663588692082,0.45269745285773627,0.4197869173754464,0.055,0.12566909593454859,0.8456690959345485
6,6,-0.05205538537496815,-0.014577685542882649,-0.029867287355794532,0.4043068561701416,0.5735554164699651,0.7124395765900302,0.055,0.11365390697843028,0.8336539069784302
7,7,-0.1035597814983178,0.1783810275026747,-0.033554375463940606,-0.8526156351623897,0.519836543071677,0.05307115189934723,0.055,0.26950472173844836,0.9895047217384483
8,8,-0.06960905001652146,0.0012743711928983464,0.005118656396711956,0.6870387447685362,-0.6731523422535982,0.27357574326933454,0.055,0.1061898655550517,0.8261898655550517
9,9,0.09081268279117942,-0.07209419366237682,0.022862254017465937,-0.5852939724452161,0.8106392531227515,0.017174606717077153,0.055,0.27506089438084735,0.9950608943808473
10,10,-0.010272908866796718,0.06282354370352536,-0.019333388256109516,0.24339348486221973,-0.6662159073219082,0.7049226740273512,0.055,0.23691262237240607,0.956912622372406
11,11,-0.03756008270752458,-0.062037970092619056,0.10188039014168561,-0.3154273399821809,-0.7670339716771379,0.5587168151084779,0.055,0.14466893720739926,0.8646689372073992
12,12,0.09141123444092318,-0.13703859253042966,0.10895474220678693,0.384358152312101,-0.9223522851819246,0.03918000473340325,0.055,0.10791097619006694,0.8279109761900669
13,13,0.08045216829107053,0.15220599527692502,-0.014964497282201956,0.07922967251399472,0.8557209316359388,0.5113358447766461,0.055,0.10286326607967784,0.8228632660796779
14,14,-0.045723820491398816,0.06300380016185944,-0.15748684641134555,-0.7314044077268154,-0.6653893469305606,0.14934727767558637,0.055,0.24478931293550688,0.9647893129355068
15,15,0.03574677928741814,-0.01922343452403076,0.011002169802599859,-0.8066192686738795,-0.5570991577782893,0.1974990729262714,0.055,0.08997859146806016,0.8099785914680602
16,16,0.08774340223408136,-0.17276686515631248,-0.04013998234036487,-0.6801974341896029,-0.39091792840087863,0.6200924316395473,0.055,0.08903280319316323,0.8090328031931632
17,17,0.10807945792796181,0.0455679179122884,0.07657034477129022,0.867875363941463,0.3511823426440769,0.35137346922966667,0.055,0.19317344434716613,0.9131734443471661
18,18,0.11192528081471954,0.07821877030285929,0.025914456761509552,0.5992963869865804,-0.686431279751095,0.4118931156551479,0.055,0.05637148490586616,0.7763714849058662
19,19,-0.11445135235959415,0.21158954848411865,0.014155738459015396,-0.5437789143147108,0.294094916107324,0.7860106059504162,0.055,0.06765902247231093,0.7876590224723109
20,20,0.08931153489150002,0.00948996508661509,0.16266236968363154,0.7231962957961635,-0.006831274913770419,0.6906087542377093,0.055,0.1381580352955063,0.8581580352955063
21,21,-0.18685682242680954,0.13891981236363518,-0.09096190996102263,0.8507731272617525,0.19909650905913556,0.48635960565174774,0.055,0.1298434573877567,0.8498434573877567
22,22,0.15304831533997582,-0.07275235387280587,-0.026996607402450266,0.08393234011061351,-0.9823346320107702,0.16725439616291443,0.055,0.1344645458339384,0.8544645458339384
23,23,-0.14552623783501378,-0.1208539917913942,-0.07343111116642288,-0.9119918123652376,0.2945449636739816,0.28550691507048,0.055,0.08619309817382378,0.8061930981738238
24,24,0.0,0.0,0.0,0.0,0.0,1.0,0.055,0.0,1.0
25,24,0.0656729322782023,-0.02718110838163179,0.011084610427694985,-0.59211963753185,0.24507003851246814,0.767681581824553,0.055,0.21819972610794716,0.9381997261079471
26,25,0.06175053756678274,0.04876580829680494,0.4679510313065436,0.7564281285142469,0.5973685502825427,0.26639688722987614,0.055,0.15689396224701013,0.8768939622470101
27,25,0.07375350451291861,0.08835973614112595,0.06471337279978538,0.6378974800972784,0.7642274546643667,0.09509575396812246,0.055,0.26902661229415636,0.9890266122941563
28,26,-0.037955920751754225,-0.050311463982007684,0.27243915959128256,-0.2855065476089907,-0.37844563119953345,0.8804912921195654,0.055,0.2766013763409771,0.9966013763409771
29,26,0.010296686042318629,0.01863840618369218,0.22886506040100096,-0.053590413733698425,-0.0970059584817511,0.9938399828819969,0.055,0.23264209212083495,0.952642092120835
30,27,0.10763894283147447,0.013372441928589902,0.16990697692558546,0.9631566652818574,0.1196570333729606,0.24085562581661704,0.055,0.06175964204223798,0.7817596420422379
31,27,0.17481585351583026,0.06149549191470751,-0.37702714765365586,-0.9152719595873839,-0.3219679351648026,0.24210305392287762,0.055,0.15269032637463498,0.872690326374635
32,28,-0.013027636869645427,0.020974288931483186,-0.13106576164869566,0.13167574759719577,-0.21199586717125044,0.9683590500413725,0.055,0.24700716706016893,0.9670071670601689
33,28,-0.05865960989800179,-0.033475613397903996,0.2263548538166878,-0.45221141233343304,-0.2580660601002365,0.8537603569970574,0.055,0.18884855322186198,0.908848553221862
34,29,-0.15545766440188605,-0.11957179415672595,-0.1573618249830749,-0.7922931102260571,-0.6094000514688868,0.03005336516996593,0.055,0.050968783846171484,0.7709687838461714
35,29,0.009701609780702584,-0.0010614376942005984,-0.20304035618390545,0.39901647555338693,-0.04365575789307458,0.9159039398538117,0.055,0.0927552646985468,0.8127552646985468
36,30,0.18203412336085117,-0.32603081623815233,0.03319510581748219,-0.32752394690466,-0.1305327253981089,0.9357827054418859,0.055,0.20416078402048946,0.9241607840204894
37,31,0.024239266800360485,-0.04422593867213425,0.2946794156913573,0.0038803646110527525,0.3303479376376611,-0.9438512503933176,0.055,0.2140331160263722,0.9340331160263722
38,32,-0.17382102778232061,-0.2934604797176823,0.21353789009722368,-0.3299182138868364,-0.05113677007432913,-0.9426234682481043,0.055,0.2027815876054151,0.9227815876054151
39,33,0.018774931636465753,-0.07423257658050281,-0.04296905240085526,-0.20784575380402612,0.32313610455700637,0.9232460130200182,0.055,0.27184454669747155,0.9918445466974715
40,30,0.08919142891094484,-0.08382074762796832,0.1794725672203384,-0.3239778477104877,0.1954701831536072,0.9256509934585364,0.055,0.05411848192314216,0.7741184819231421
41,31,-0.04790131620529453,-0.04739364052066982,-0.022599680612707607,-0.19576965522713186,0.3239581136227413,-0.9255946103506896,0.055,0.20830942667989658,0.9283094266798966
42,32,0.005542080394913261,0.07427265726578465,0.29486711927161574,-0.3302140436667016,-0.02873159713173881,-0.9434686961905759,0.055,0.2794179690975398,0.9994179690975398
43,33,-0.34753008962469695,0.2947096343028797,0.2591280880913278,-0.1475397305139464,0.3267351125635281,0.9335288930386519,0.055,0.10344792289315695,0.8234479228931569
44,30,0.017890836447833874,-0.1714979880336832,0.23985806764413833,-0.3275495036896943,0.12994377607203295,0.9358557248276982,0.055,0.06256608343725625,0.7825660834372562
45,31,0.21005951371059328,0.09788980985616662,-0.18681644198006275,-0.19474727996815014,0.32402535490959355,-0.9257867283131245,0.055,0.16750856393145086,0.8875085639314508
46,32,0.23298725077679852,0.30758910973976455,0.2096633141780818,-0.3220883422137271,-0.22224897854248998,-0.9202524063249348,0.055,0.15779730924148871,0.8777973092414887
47,33,0.274515090881603,-0.020063924113006483,-0.30944980399523325,-0.026365616734092562,0.3302355839206804,0.9435302397733727,0.055,0.227148061729141,0.947148061729141
